;coef;term
0;0.0360170062175;qu
1;0.0400735659921;qui
2;-0.0410457884657;40
3;-0.0412880482612;fossiles
4;-0.0416648839626;souvent
5;-0.0418446347339;pas
6;-0.042669577083;peu
7;-0.0433832811026;nucléaire
8;-0.0435264487393;économique
9;-0.0436624525762;distribution
10;-0.0444718423619;photovoltaïque
11;-0.0445877721039;place
12;-0.0446681632751;publié
13;-0.0453428826681;exemple
14;-0.0455879988788;co2
15;-0.0458327454572;tout
16;-0.0458761280704;disposant
17;-0.0468809672854;ont
18;-0.0470365793574;carbone
19;-0.047300117505;faire
20;-0.0473332294112;ressource
21;-0.0474451787033;transport
22;0.0475192000985;souligne
23;-0.0477653614408;chez
24;-0.0477676006442;hydroélectriques
25;-0.0477676006442;barrages
26;-0.0482536284415;eau
27;-0.0482976509512;durable
28;-0.0485716480977;actuellement
29;-0.0485960798849;éolienne
30;-0.0498480772125;même
31;-0.0505508158279;elle
32;-0.0506494099476;passer
33;-0.0508923074028;diversification
34;-0.0511971850934;union
35;-0.0511971850934;européenne
36;-0.0518084669877;vers
37;-0.0518801378961;2014
38;-0.0522461367822;centrales
39;-0.0526665280764;peut
40;-0.0534769979007;problème
41;-0.0534902498731;capacité
42;-0.0537313023132;croissance
43;-0.0539737003141;eux
44;0.055453059195;doit
45;0.0560891162234;grâce
46;-0.056160404843;centrale
47;-0.056451892799;biomasse
48;-0.0571670378402;stockage
49;0.0574345650205;gouvernement
50;-0.057857256969;2018
51;-0.058435315558;réaliser
52;-0.05846368751;renforcer
53;-0.059133838551;contribuer
54;-0.0596023616095;matières
55;-0.0604611406232;éolien
56;-0.0610585228181;formation
57;0.0617760618055;plusieurs
58;-0.062649167583;situation
59;0.0626694860111;ministre
60;0.0632712741449;sud
61;-0.0634269072596;diversifier
62;-0.0641497766653;haute
63;-0.0643049839171;afd
64;-0.065067660468;car
65;0.0651570832946;leur
66;-0.0657835606927;équipements
67;-0.0658985080659;faut
68;0.0659779364462;etat
69;-0.0664423037834;techniques
70;-0.0671366463106;subvention
71;-0.0671750233846;écologique
72;-0.0675028641532;soit
73;-0.0680283586937;amélioration
74;-0.0685582325166;régionaux
75;-0.0687415191759;vise
76;-0.0688837545396;où
77;-0.0689722402305;matière
78;-0.0698942837985;acteurs
79;-0.0701286518416;fin
80;-0.0713990105953;sera
81;-0.0714251654735;national
82;-0.0717089798277;efficacité
83;-0.0717908473792;faible
84;-0.071872427489;plan
85;-0.0722830375794;consommation
86;-0.072312762544;technique
87;-0.0729137873253;investissements
88;0.0729612200807;personnes
89;-0.0735816991629;jusqu
90;-0.0740266531702;permettre
91;-0.0740438645902;lancé
92;-0.0748155797941;première
93;-0.0748932020639;mix
94;-0.0756459238074;16
95;0.0757554585698;permettant
96;-0.0758144788472;marché
97;-0.0762938257542;cadre
98;-0.0768430538464;programme
99;0.0777847255569;2012
100;0.0806275529355;été
101;0.0808820779028;contre
102;-0.0811114756741;bolivien
103;-0.0811368825898;différents
104;0.0814092126599;source
105;-0.082036265548;actionnaires
106;-0.0820622021175;quatre
107;-0.0821450086595;permet
108;0.0830386474905;nord
109;-0.0841560649133;bas
110;-0.0920845783389;viabilité
111;-0.0923475132859;ils
112;-0.0935481214905;ainsi
113;-0.0946762350167;ligne
114;-0.0957208004758;pays
115;-0.0961653229482;réduction
116;0.0979650294919;avant
117;-0.099292620027;engie
118;-0.0995109932823;financement
119;-0.100759831199;partie
120;0.100962959664;monde
121;0.102251748354;sa
122;-0.102412766907;déjà
123;-0.102421636252;notamment
124;-0.102961820021;était
125;-0.103062388749;accord
126;0.103805177715;groupe
127;-0.103907327843;pourrait
128;-0.103915180019;ans
129;-0.104412863362;réduire
130;-0.104469267068;année
131;0.104745540278;france
132;-0.105985310396;abordable
133;-0.106857946528;mondiale
134;-0.106887759953;2016
135;-0.108529834248;sous
136;0.108601025041;que
137;-0.108652016117;transition
138;0.108982379321;alors
139;-0.109007559318;internationale
140;-0.110533592419;sources
141;-0.110664666424;secteur
142;-0.113886323077;prix
143;-0.115414293618;capacités
144;-0.11733850663;assurer
145;-0.120158761054;thermique
146;0.121132161036;système
147;-0.122374542176;ces
148;-0.122619522266;coût
149;-0.12431350785;donc
150;0.124450313616;responsables
151;-0.12523277759;est
152;-0.125972191697;nouveaux
153;-0.126004948973;entre
154;-0.126317162526;se
155;-0.126412659432;dès
156;-0.126507774904;rapport
157;0.128502178473;forte
158;-0.129020991454;naturel
159;-0.129143320346;large
160;-0.130459490368;une
161;0.131889743733;ne
162;-0.132459208152;cela
163;0.133623301443;aussi
164;-0.133743847505;autres
165;-0.135281322111;changement
166;0.136448203835;agit
167;-0.136682430187;états
168;-0.138119665347;habitants
169;-0.138292733329;environnement
170;-0.13964535364;réseau
171;-0.139803321174;être
172;-0.140145728298;projets
173;-0.140415427745;renouvelable
174;-0.140439608735;dernier
175;-0.141206165097;sans
176;0.14316962528;000
177;0.143250605696;également
178;-0.144819508848;climatique
179;-0.145202909498;photovoltaïques
180;-0.146364626944;nouvelles
181;0.146872127418;soutien
182;-0.14703944181;gestion
183;-0.147867248951;20
184;0.148343519295;près
185;-0.148462160124;base
186;0.150413188733;ses
187;0.15212275542;propre
188;-0.154487443293;développer
189;-0.156431059473;comme
190;-0.156716613507;services
191;-0.162839503221;construction
192;-0.163304162625;afin
193;-0.165278926835;ici
194;0.166178471716;deux
195;-0.170811725433;cette
196;-0.170937556874;dont
197;0.172577708561;euros
198;-0.175780460826;solaires
199;-0.18499360839;du
200;-0.193958451468;des
201;0.19558222446;lors
202;0.196481607418;avait
203;0.199873151288;50
204;-0.200497072669;agence
205;-0.207335983965;charbon
206;-0.208130007526;bois
207;-0.208130007526;cuisson
208;0.210336768551;trois
209;-0.213842122975;économie
210;0.216622708085;premier
211;-0.223697964584;solaire
212;-0.225134377924;modernes
213;-0.236161615611;énergétiques
214;-0.237719990139;serre
215;-0.240173651416;avec
216;-0.241314978672;fait
217;-0.248552199336;ou
218;0.249467177309;massivement
219;0.251945829252;sont
220;-0.253259944383;2030
221;-0.253498769136;énergies
222;0.254490668064;millions
223;-0.255544922452;cinq
224;-0.263443517444;émissions
225;-0.267019224807;par
226;-0.271588033677;projet
227;0.271804360375;le
228;-0.279089694068;tous
229;-0.279812277023;déchets
230;-0.294691772687;milliards
231;0.299676448321;la
232;-0.301342285557;développement
233;-0.304645566206;électrique
234;-0.309874632821;énergétique
235;0.315647718189;en
236;-0.319555421683;effet
237;-0.322296365461;production
238;-0.345248490293;ce
239;0.352266079434;il
240;-0.355822984028;renouvelables
241;-0.364740355656;accès
242;-0.376138739591;gaz
243;0.379500323889;depuis
244;-0.385140978177;sur
245;-0.467527588734;électricité
246;0.477814845389;lundi
247;-0.641217096885;énergie
248;-0.735934926556;et